orden,id,universidad,miembros,banda,contacto_previo,fuente,brazo
1,uba288,UBA,80,chico,no,Comunidades,dx-ab-imagen-control
2,uba160,UBA,43,chico,si,Grupos,dx-ab-imagen-control
3,uba196,UBA,197,grande,no,Grupos,dx-ab-imagen-tratamiento
4,uba216,UBA,205,grande,si,Comunidades,dx-ab-imagen-tratamiento
5,unc023,UNC,72,chico,no,Grupos,dx-ab-imagen-tratamiento
6,unc045,UNC,54,chico,si,Grupos,dx-ab-imagen-tratamiento
7,unc048,UNC,109,grande,no,Grupos,dx-ab-imagen-tratamiento
8,unc031,UNC,137,grande,si,Grupos,dx-ab-imagen-control
9,unlp025,UNLP,51,chico,no,Comunidades,dx-ab-imagen-control
10,unlp001,UNLP,249,grande,no,Grupos,dx-ab-imagen-tratamiento
11,unlp011,UNLP,198,grande,si,Comunidades,dx-ab-imagen-tratamiento
12,unsam002,UNSAM,62,chico,no,Comunidades,dx-ab-imagen-control
13,unsam006,UNSAM,186,grande,no,Comunidades,dx-ab-imagen-tratamiento
14,utn023,UTN,83,chico,no,Grupos,dx-ab-imagen-control
15,utn048,UTN,71,chico,si,Grupos,dx-ab-imagen-tratamiento
16,utn026,UTN,131,grande,no,Grupos,dx-ab-imagen-control
17,utn083,UTN,379,grande,si,Grupos,dx-ab-imagen-control
18,uba014,UBA,40,chico,no,Grupos,dx-ab-imagen-tratamiento
19,uba207,UBA,68,chico,si,Comunidades,dx-ab-imagen-tratamiento
20,uba262,UBA,181,grande,no,Comunidades,dx-ab-imagen-control
21,uba254,UBA,335,grande,si,Comunidades,dx-ab-imagen-control
22,unc057,UNC,44,chico,no,Grupos,dx-ab-imagen-control
23,unc086,UNC,51,chico,si,Grupos,dx-ab-imagen-control
24,unc001,UNC,161,grande,si,Grupos,dx-ab-imagen-tratamiento
25,unlp047,UNLP,93,chico,no,Comunidades,dx-ab-imagen-tratamiento
26,unlp032,UNLP,129,grande,no,Comunidades,dx-ab-imagen-control
27,unlp008,UNLP,144,grande,si,Comunidades,dx-ab-imagen-control
28,unsam003,UNSAM,74,chico,no,Comunidades,dx-ab-imagen-tratamiento
29,unsam009,UNSAM,163,grande,no,Comunidades,dx-ab-imagen-control
30,utn086,UTN,319,grande,no,Grupos,dx-ab-imagen-tratamiento
31,utn076,UTN,472,grande,si,Grupos,dx-ab-imagen-tratamiento
32,uba027,UBA,44,chico,no,Grupos,dx-ab-imagen-control
33,uba002,UBA,63,chico,si,Grupos,dx-ab-imagen-control
34,uba227,UBA,807,grande,no,Grupos,dx-ab-imagen-tratamiento
35,uba109,UBA,112,grande,si,Grupos,dx-ab-imagen-tratamiento
36,unc049,UNC,96,chico,no,Grupos,dx-ab-imagen-tratamiento
37,unc047,UNC,60,chico,si,Grupos,dx-ab-imagen-tratamiento
38,unc072,UNC,130,grande,si,Grupos,dx-ab-imagen-control
39,unlp028,UNLP,56,chico,no,Comunidades,dx-ab-imagen-control
40,unlp035,UNLP,173,grande,no,Comunidades,dx-ab-imagen-tratamiento
41,unlp009,UNLP,233,grande,si,Comunidades,dx-ab-imagen-tratamiento
42,unsam007,UNSAM,73,chico,no,Comunidades,dx-ab-imagen-control
43,unsam001,UNSAM,126,grande,no,Comunidades,dx-ab-imagen-tratamiento
44,utn043,UTN,304,grande,no,Grupos,dx-ab-imagen-control
45,utn078,UTN,800,grande,si,Grupos,dx-ab-imagen-control
46,uba236,UBA,90,chico,no,Comunidades,dx-ab-imagen-tratamiento
47,uba031,UBA,67,chico,si,Grupos,dx-ab-imagen-tratamiento
48,uba258,UBA,164,grande,no,Comunidades,dx-ab-imagen-control
